model,accuracy,precision_malignant,recall_malignant,f1_malignant,true_negative,false_positive,false_negative,true_positive
Least squares,0.7051282051282052,0.84,0.7368421052631579,0.7850467289719626,26,16,30,84
Polynomial SVM,0.7756410256410257,0.7762237762237763,0.9736842105263158,0.8638132295719845,10,32,3,111
Neural network,0.8076923076923077,0.8181818181818182,0.9473684210526315,0.8780487804878049,18,24,6,108
